month,year,presentation_type
february,2021,conference presentation
january,2021,conference presentation
september,2020,conference presentation
april,2023,guest lecture
may,2022,guest lecture
march,2021,guest lecture
jan,2021,guest lecture
september,2020,guest lecture
march,2020,guest lecture
november,2019,community organizing
march,2022,guest lecture
july,2023,community presentation
october,2022,panel
may,2021,community presentation
may,2021,community presentation
april,2021,community presentation
may,2020,community presentation
april,2020,community presentation
october,2021,panel
september,2021,panel
march,2021,panel
may,2019,guest lecture
may,2019,guest lecture
may,2019,community presentation
september,2019,guest lecture
april,2022,community organizing
february,2020,community organizing
february,2024,conference presentation
september,2023,community presentation
march,2024,community presentation
february,2024,community presentation
may,2024,conference presentation
